State,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Goa,17.4.9(c),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Severe hypertesnion or fits,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(c),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Severe hypertesnion or fits,2. 15-49 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(c),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Severe hypertesnion or fits,3. Above 49 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(c),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Severe hypertesnion or fits,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(d),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Bleeding,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(d),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Bleeding,2. 15-49 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(d),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Bleeding,3. Above 49 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(d),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being Bleeding,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(e),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being High Fever,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(e),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being High Fever,2. 15-49 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(e),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being High Fever,3. Above 49 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(e),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being High Fever,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(f),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being other causes (excluding abortion; obstructed or prolonged labour; severe hypertension or fits;,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(f),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being other causes (excluding abortion; obstructed or prolonged labour; severe hypertension or fits;,2. 15-49 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(f),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being other causes (excluding abortion; obstructed or prolonged labour; severe hypertension or fits;,3. Above 49 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.9(f),Number of cases of Maternal deaths (age 15-49 years) with the probable cause being other causes (excluding abortion; obstructed or prolonged labour; severe hypertension or fits;,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.10,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Trauma or Accidents or Burn cases,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.10,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Trauma or Accidents or Burn cases,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.10,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Trauma or Accidents or Burn cases,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.10,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Trauma or Accidents or Burn cases,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.11,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being suicide,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.11,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being suicide,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.11,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being suicide,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.11,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being suicide,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.12,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Animal bites and stings,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.12,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Animal bites and stings,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.12,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Animal bites and stings,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.12,Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Animal bites and stings,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(a),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Acute disease,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(a),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Acute disease,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(a),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Acute disease,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(a),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Acute disease,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(b),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Chronic disease,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(b),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Chronic disease,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(b),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Chronic disease,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(b),Number of cases of Adolescent or Adult deaths (age 6 years & above) with the probable cause being Known Chronic disease,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(c),Number of cases of Adolescent or Adult deaths (age 6 years & above) where the cause was not known,1. 6-14 yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(c),Number of cases of Adolescent or Adult deaths (age 6 years & above) where the cause was not known,2. 15-55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(c),Number of cases of Adolescent or Adult deaths (age 6 years & above) where the cause was not known,3. Above 55 yrs.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,17.4.13(c),Number of cases of Adolescent or Adult deaths (age 6 years & above) where the cause was not known,4. Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,1.1,Total number of pregnant women Registered for ANC,TOTAL,109873,108671,114142,109237,100116,122764,106988,107548,109874,114520,114352,111297,1329382
Gujarat,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,60726,57852,62438,64576,62958,75039,63896,63933,65251,69826,70378,67326,784199
Gujarat,1.2,Number of Pregnant women registered under JSY,TOTAL,14930,13992,17067,18916,19028,24086,19489,18357,18903,21223,24730,30305,241026
Gujarat,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,68812,69261,72926,74858,75365,92907,81138,79086,80184,84539,86249,86084,951409
Gujarat,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,65031,67177,80004,81279,74197,85862,75770,76789,76427,80929,78807,79923,922195
Gujarat,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,81479,78104,93707,100282,98488,115652,101623,97423,98761,105692,108039,109789,1189039
Gujarat,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,27472,24571,31879,33828,32967,37402,42628,40334,39455,47611,37655,41446,437248
Gujarat,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,12442,19584,32030,32621,28937,35312,33957,33402,33063,46989,39683,40492,388512
Gujarat,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,2075,3461,3769,5269,3712,5123,4625,4513,4583,4410,4425,4219,50184
Gujarat,1.8,Number of pregnancy test kits used at SC level,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,6883,6248,6699,6229,6366,7478,6749,6919,5372,5024,4658,4506,73131
Gujarat,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,8574,7878,8571,8343,7854,10778,8583,7979,8356,8599,8055,8387,101957
Gujarat,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,15457,14126,15270,14572,14220,18256,15332,14898,13728,13623,12713,12893,175088
Gujarat,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,3557,5498,5804,5901,6849,8123,7031,6393,8887,6934,6203,6142,77322
Gujarat,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,17644,15271,18486,17410,19803,23699,22688,24488,28409,25180,23319,26223,262620
Gujarat,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,513,1989,1261,1371,2055,2569,2432,1582,2174,1507,1530,1873,20856
Gujarat,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,11053,8331,11356,14788,13682,24313,15254,14017,14262,17002,18254,26841,189153
Gujarat,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,7948,8631,9916,11919,12326,16541,12819,11684,15071,37997,15677,18782,179311
Gujarat,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,42056,40760,43206,45020,47615,60955,52185,56223,52124,56787,55047,57959,609937
Gujarat,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,46,44,30,62,54,152,84,82,80,61,97,33,825
Gujarat,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,245,268,732,364,3908,871,772,927,916,1228,959,1465,12655
Gujarat,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,83,188,81,204,272,263,179,80,160,803,193,142,2648
Gujarat,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,34,76,417,241,107,292,421,223,355,308,236,383,3093
Gujarat,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,408,576,1260,871,4341,1578,1456,1312,1511,2400,1485,2023,19221
Gujarat,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,946,595,1017,1084,1147,1735,1435,1776,1877,1912,1569,1746,16839
Gujarat,4.1.1.a,Number of male live births,TOTAL,37357,34561,39971,41955,46309,60033,51862,52583,51234,51450,49337,53250,569902
Gujarat,4.1.1.b,Number of female live births,TOTAL,32811,31036,35261,37281,41500,55013,47415,47933,45893,47973,44769,48281,515166
Gujarat,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,70168,65597,75232,79236,87809,115046,99277,100516,97127,99423,94106,101531,1085068
Gujarat,4.1.2,Number of still births,TOTAL,3555,2204,2909,3450,3547,6707,4155,3542,2802,3995,3474,3294,43634
Gujarat,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,1070,1152,1632,1878,1388,2195,1844,1404,1623,1705,1662,1522,19075
Gujarat,4.2.1,Number of Newborns weighed at birth,TOTAL,62199,55999,67931,62087,48046,55340,50393,56699,52058,50063,48204,55220,664239
Gujarat,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,8272,6687,8449,10199,12020,15436,13516,12625,12290,11919,10684,12915,135012
Gujarat,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,63366,63926,77141,78483,82350,106909,91622,90892,87219,94295,88356,91708,1016267
Gujarat,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,533,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689
Gujarat,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
Gujarat,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Gujarat,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,15,12,40,38,17,26,19,7,27,25,27,31,284
Gujarat,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,627,168,40,38,17,26,19,7,27,25,27,31,1052
Gujarat,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,280,114,26,68,35,53,40,45,37,63,40,30,831
Gujarat,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,70,81,173,341,287,562,433,286,424,244,252,213,3366
Gujarat,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,36358,41813,48061,53220,62050,85318,76822,75409,74525,79765,73950,77767,785058
Gujarat,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,57873,61673,78656,85926,99363,134252,124613,119142,118109,130568,124090,123646,1257911
Gujarat,6.3,PNC maternal complications attended,TOTAL,43,42,251,19,52,58,40,62,306,64,83,58,1078
Gujarat,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,1114,828,1052,792,780,931,1078,950,1254,1342,1257,1382,12760
Gujarat,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,65,121,116,93,70,157,145,116,169,63,94,136,1345
Gujarat,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,1179,949,1168,885,850,1088,1223,1066,1423,1405,1351,1518,14105
Gujarat,7.2,Number of MTPs conducted at Private Facilities,TOTAL,115,51,51,51,51,51,51,201,51,51,51,51,826
Gujarat,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,6604,5571,6426,7040,6980,7414,7828,6179,6566,7012,6751,6940,81311
Gujarat,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,21269,17408,18850,21424,22406,26880,24408,22987,22348,24158,24555,23663,270356
Gujarat,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,27873,22979,25276,28464,29386,34294,32236,29166,28914,31170,31306,30603,351667
Gujarat,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,402,383,461,550,343,524,468,337,282,345,294,244,4633
Gujarat,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,4,94,14,97,138,276,222,188,169,214,239,249,1904
Gujarat,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,4,8,7,35,1,7,49,15,14,30,37,3,210
Gujarat,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,10,15,13,7,14,44,14,13,37,47,31,59,304
Gujarat,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,233,240,490,408,619,1245,956,541,764,1086,1395,1169,9146
Gujarat,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,251,357,524,547,772,1572,1241,757,984,1377,1702,1480,11564
Gujarat,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,NA,20,NA,NA,NA,NA,NA,NA,1,1,NA,NA,22
Gujarat,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,394,692,569,625,376,689,765,2012,4208,4044,3578,4008,21960
Gujarat,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,NA,86,26,4,40,8,11,9,19,19,5,135,362
Gujarat,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,153,277,174,223,389,372,254,672,1367,1305,1343,1265,7794
Gujarat,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,31,NA,31,10,28,45,87,101,153,109,64,659
Gujarat,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,547,1086,769,883,815,1097,1075,2780,5695,5521,5035,5472,30775
Gujarat,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,34,NA,19,1,17,3,3,1,23,62,11,15,189
Gujarat,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,246,149,224,304,273,386,257,383,727,848,754,1563,6114
Gujarat,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,43,93,140,372,305,222,104,113,675,652,799,562,4080
Gujarat,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,46,NA,60,119,145,192,65,59,408,444,383,52,1973
Gujarat,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,8130,11164,12286,12598,11217,14624,14233,24755,41511,43991,35468,31538,261515
Gujarat,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,8465,11406,12710,13393,11940,15424,14659,25310,43321,45935,37404,33715,273682
Gujarat,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,27,8,24,26,33,29,25,28,16,38,288,67,609
Gujarat,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,10,56,24,15,NA,58,NA,13,33,NA,108,27,344
Gujarat,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,58,85,80,116,97,240,122,211,304,355,262,134,2064
Gujarat,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,31,47,64,46,36,49,86,40,70,98,83,57,707
Gujarat,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,99,188,168,177,133,347,208,264,407,453,453,218,3115
Gujarat,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,10,5,41,16,22,21,19,18,19,32,22,334,559
Gujarat,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,1802,2265,2347,2346,2366,2785,2720,3106,3121,3232,3182,4242,33514
Gujarat,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,380,1477,1616,2000,2075,1647,1979,918,2624,3743,3456,11066,32981
Gujarat,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,98,333,312,92,46,83,246,110,174,312,711,269,2786
Gujarat,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,26,38,127,140,42,86,61,34,125,135,148,284,1246
Gujarat,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,26773,30792,36418,38072,42051,39287,42844,45750,46306,51593,52698,59242,511826
Gujarat,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,29079,34905,40820,42650,46580,43888,47850,49918,52350,59015,60195,75103,582353
Gujarat,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,35,5,62,37,71,40,66,43,60,47,163,662,1291
Gujarat,9.06,Number of IUCD removals,TOTAL,41,109,163,213,220,216,189,232,249,229,216,264,2341
Gujarat,9.07,Number of Oral Pills cycles distributed,TOTAL,311850,262373,262501,252266,278246,281195,288703,300044,315843,301450,314134,346715,3515320
Gujarat,9.08,Number of Condom pieces distributed,TOTAL,7221588,7358430,6603590,6955678,7597296,7855932,7691953,7349449,7246770,6640136,6628510,7445468,86594800
Gujarat,9.09,Number of Centchroman (weekly) pills given,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,NA,NA,13,8,NA,37,NA,NA,NA,NA,NA,NA,58
Gujarat,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.11.2.a,Number of failures following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.11.2.b,Number of failures following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.11.3.a,Number of deaths following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.11.3.b,Number of deaths following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,9.12,Number of Institutions having NSV trained doctors,TOTAL,NA,NA,NA,5,5,5,5,5,5,5,NA,5,Data for this item can not be cumulated
Gujarat,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,78539,78552,91617,91813,91975,110767,98027,100165,99992,103662,98768,102175,1146052
Gujarat,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,82128,79786,89121,87206,71543,88034,96454,104028,101875,112895,101523,95857,1110450
Gujarat,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,76159,74633,83854,82915,69053,82364,83208,95537,97610,103941,110103,98695,1058072
Gujarat,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,84803,76530,84504,83171,70082,83110,82315,92724,97118,102871,105852,109461,1072541
Gujarat,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,49623,42772,48888,51564,55534,67623,59475,61567,62397,63776,63624,65380,692223
Gujarat,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,77474,77064,87531,87190,81730,100611,94337,100289,100272,110588,100416,94700,1112202
Gujarat,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,73655,74069,83612,83263,79435,97281,86300,92661,96346,102420,108088,98296,1075426
Gujarat,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,80674,74918,83659,82348,78599,95417,84850,89733,94778,100665,95413,106490,1067544
Gujarat,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,9550,8276,12730,11811,10547,11695,14177,14709,15242,49811,30136,18633,207317
